walletid,Wallet Create Date,Wallet Create Stage,Movement 202101,Movement 202102,Movement 202103,Movement 202104,Movement 202101 - 202104
GXUZKd1mbCU6Xa8gYW4tpkGEVQetUdvs5j,20200928,Pre Launch,0.00,0.00,-2 668 422.69,0.00,-2 668 422.69
GUzDkJDtYeS9vojqida4gUquhS71P9stGZ,20201001,Pre Launch,0.00,0.00,-2 668 217.97,0.00,-2 668 217.97
GeQTeJ2rie2ifuRKJrjKGvSyASb7Zzo6Nb,20200930,Pre Launch,0.00,0.00,-2 667 924.01,0.00,-2 667 924.01
GNjnaQdg92HkRcb5BKWiHLEpPxScLSSJdK,20200929,Pre Launch,0.00,0.00,-2 667 917.48,0.00,-2 667 917.48
GM9vot7mJf4AMz7CRFhvHNJVekJ61hgMs1,20200929,Pre Launch,0.00,0.00,-2 667 701.20,0.00,-2 667 701.20
GJdMKxk759J2mYsbMADEQuVbS1BGy1Uvc8,20201001,Pre Launch,0.00,0.00,-2 667 546.34,0.00,-2 667 546.34
GTDkvPZuiPZbRaEKUkuNNtYh3npxTM41mp,20200928,Pre Launch,0.00,0.00,-2 667 265.13,0.00,-2 667 265.13
Gforbac9H6XCpjzaXWsRPK5NswhNaZVAJd,20200928,Pre Launch,0.00,0.00,-2 666 712.09,0.00,-2 666 712.09
GdRxgB3DftLiUCvTbXS6tufxL9CoFjRXnm,20200930,Pre Launch,0.00,0.00,-2 666 520.24,0.00,-2 666 520.24
GYpUoeeNbJR7VrTAWW8SFkLraxseBU9Mfw,20201001,Pre Launch,0.00,0.00,-2 665 781.94,0.00,-2 665 781.94
GXP7XVbfEkAq16euQQ5XSqTNA9DLz6ZHFd,20200929,Pre Launch,0.00,0.00,-2 665 604.49,0.00,-2 665 604.49
GJ8uvHUyMtu6coyH9iapR4oiVixZQCtMHe,20200930,Pre Launch,0.00,0.00,-2 665 188.26,0.00,-2 665 188.26
GWCQ6dj4pGBf5cQU2brkff3W5tdjkv2iE2,20200929,Pre Launch,0.00,0.00,-2 665 015.84,0.00,-2 665 015.84
Gf1Qb7EgCzmrSyRwQ7uRumzfaHnfVuoNs9,20201001,Pre Launch,0.00,0.00,-2 664 795.11,0.00,-2 664 795.11
GTkHgvvCnF2cfWQiX4oVoxkmU3cmxzJUaq,20200930,Pre Launch,0.00,0.00,-2 664 640.23,0.00,-2 664 640.23
GX3sDKze4SsgzdELEBX9KHmTsHzTWnR19Z,20200930,Pre Launch,0.00,0.00,-2 664 555.28,0.00,-2 664 555.28
GdVQKECwjepwVuDxz42uCMfy2zHBSfRKvM,20200930,Pre Launch,0.00,0.00,-2 664 530.42,0.00,-2 664 530.42
GLE2H7BF9nxNeU2WUx4essiyTwfyTDFQfA,20201001,Pre Launch,0.00,0.00,-2 663 775.16,0.00,-2 663 775.16
GT6jT3GJnbybU2hTrgusGA25U7PeotzDvx,20200927,Pre Launch,0.00,0.00,-2 663 475.79,0.00,-2 663 475.79
GVakyaaW974UbQ43T78Pu1Un8mVRKJekXG,20200930,Pre Launch,0.00,0.00,-2 663 388.58,0.00,-2 663 388.58
GeY9z256FYiQkP9tzQ3KK9WT7zJY6RijGE,20200930,Pre Launch,0.00,0.00,-2 663 150.76,0.00,-2 663 150.76
